eps_0.080225_0.080325.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 74, 'slab_refused': 74, 'face_refused': 74, 'block_refused': True}
eps_0.085112_0.085162.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 72, 'slab_refused': 72, 'face_refused': 72, 'block_refused': True}
eps_0.085219_0.085286.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 71, 'slab_refused': 71, 'face_refused': 71, 'block_refused': True}
eps_0.085162_0.085219.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 71, 'slab_refused': 71, 'face_refused': 71, 'block_refused': True}
eps_0.085286_0.085362.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 71, 'slab_refused': 71, 'face_refused': 71, 'block_refused': True}
eps_0.085362_0.085449.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 70, 'slab_refused': 70, 'face_refused': 70, 'block_refused': True}
eps_0.085550_0.085650.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 70, 'slab_refused': 70, 'face_refused': 70, 'block_refused': True}
eps_0.085449_0.085550.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 70, 'slab_refused': 70, 'face_refused': 70, 'block_refused': True}
eps_0.085751_0.085851.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 70, 'slab_refused': 70, 'face_refused': 70, 'block_refused': True}
eps_0.085650_0.085751.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 70, 'slab_refused': 70, 'face_refused': 70, 'block_refused': True}
eps_0.085851_0.085952.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 70, 'slab_refused': 70, 'face_refused': 70, 'block_refused': True}
eps_0.085952_0.086053.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 70, 'slab_refused': 70, 'face_refused': 70, 'block_refused': True}
eps_0.090000_0.090100.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 67, 'slab_refused': 67, 'face_refused': 67, 'block_refused': True}
eps_0.090100_0.090225.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 66, 'slab_refused': 66, 'face_refused': 66, 'block_refused': True}
eps_0.090225_0.090381.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 66, 'slab_refused': 66, 'face_refused': 66, 'block_refused': True}
eps_0.090381_0.090581.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 65, 'slab_refused': 65, 'face_refused': 65, 'block_refused': True}
eps_0.090811_0.090926.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 66, 'slab_refused': 66, 'face_refused': 66, 'block_refused': True}
eps_0.090581_0.090811.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 65, 'slab_refused': 65, 'face_refused': 65, 'block_refused': True}
eps_0.090926_0.091058.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 65, 'slab_refused': 65, 'face_refused': 65, 'block_refused': True}
eps_0.091058_0.091210.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 65, 'slab_refused': 65, 'face_refused': 65, 'block_refused': True}
eps_0.091210_0.091385.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 64, 'slab_refused': 64, 'face_refused': 64, 'block_refused': True}
eps_0.091385_0.091473.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 66, 'slab_refused': 66, 'face_refused': 66, 'block_refused': True}
eps_0.091473_0.091573.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 66, 'slab_refused': 66, 'face_refused': 66, 'block_refused': True}
eps_0.091573_0.091689.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 65, 'slab_refused': 65, 'face_refused': 65, 'block_refused': True}
eps_0.091689_0.091822.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 65, 'slab_refused': 65, 'face_refused': 65, 'block_refused': True}
eps_0.091822_0.091955.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 65, 'slab_refused': 65, 'face_refused': 65, 'block_refused': True}
eps_0.091955_0.092088.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 65, 'slab_refused': 65, 'face_refused': 65, 'block_refused': True}
eps_0.095000_0.095100.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 64, 'slab_refused': 64, 'face_refused': 64, 'block_refused': True}
eps_0.095100_0.095225.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 63, 'slab_refused': 63, 'face_refused': 63, 'block_refused': True}
eps_0.095225_0.095325.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 64, 'slab_refused': 64, 'face_refused': 64, 'block_refused': True}
eps_0.095325_0.095440.json old PASS -> new PASS, same exact data and T: True, negative checks {'stages': 63, 'slab_refused': 63, 'face_refused': 63, 'block_refused': True}
eps_0.095440_0.095572.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 63, 'slab_refused': 63, 'face_refused': 63, 'block_refused': True}
eps_0.095705_0.095837.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 62, 'slab_refused': 62, 'face_refused': 62, 'block_refused': True}
eps_0.095572_0.095705.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 62, 'slab_refused': 62, 'face_refused': 62, 'block_refused': True}
eps_0.095837_0.095969.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 62, 'slab_refused': 62, 'face_refused': 62, 'block_refused': True}
eps_0.095969_0.096101.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 62, 'slab_refused': 62, 'face_refused': 62, 'block_refused': True}
eps_0.096234_0.096366.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 62, 'slab_refused': 62, 'face_refused': 62, 'block_refused': True}
eps_0.096101_0.096234.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 62, 'slab_refused': 62, 'face_refused': 62, 'block_refused': True}
eps_0.096366_0.096498.json old PASS -> new PASS, same exact data and T: False, negative checks {'stages': 62, 'slab_refused': 62, 'face_refused': 62, 'block_refused': True}
